Price,Location,Property Type,Status,Agency,Agent Name,Listing Date,Offer Date
R 1 600 000,Foreshore,0.5 Bedroom Apartment in Foreshore,Promoted,PE Atlantic Seaboard,Craig Hunt,2025-06-30,
R 1 950 000,Woodstock,3 Bedroom House,Private,PE Woodstock,Jared Bailey,2025-08-07,
R 2 250 000,Observatory,3 Bedroom Townhouse,Normal,PE Woodstock,Peter Ross,2025-04-30,
R 10 900 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Jacob Taylor,2025-09-01,
R 15 500 000,Constantia,3 Bedroom House,Normal,PE Constantia,Rodney Shaw,2025-06-05,
R 1 995 000,Tokai,2 Bedroom Apartment,Normal,PE Southern Suburbs,Arthur Jenkins,2025-04-30,2025-05-18
R 5 950 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Bradley Gray,2025-06-18,
R 15 500 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Justin Lewis,2025-08-05,
R 2 495 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Craig Hunt,2025-08-29,
R 1 900 000,Rosebank,2 Bedroom Apartment,Normal,PE Southern Suburbs,Oscar Newman,2025-05-14,
R 19 500 000,Camps Bay,4 Bedroom House,Normal,PE Atlantic Seaboard,Jerome Bryant,2025-07-21,
R 1 895 000,Cape Town City Centre,1 Bedroom House,Normal,PE City Bowl,Gregory Diaz,2025-07-14,
R 39 999 000,Bantry Bay,3 Bedroom House,Normal,PE Atlantic Seaboard,Eugene Long,2025-05-27,2025-08-02
R 1 395 000,Claremont,2 Bedroom Apartment,Sponsored,PE Claremont,Eugene Long,2025-08-24,
R 1 450 000,Woodstock,2 Bedroom House,Sponsored,PE Woodstock,Martin Hayes,2025-09-16,
R 6 200 000,Bergvliet,5 Bedroom House,Sponsored,PE Southern Suburbs,Theodore Duncan,2025-06-10,
R 3 695 000,Bergvliet,3 Bedroom House,Sponsored,PE Southern Suburbs,Leon Griffin,2025-05-14,
R 10 950 000,Tamboerskloof,3 Bedroom House,Normal,PE City Bowl,Edgar Hart,2025-06-15,
R 47 000 000,Constantia,5 Bedroom House,Normal,PE Constantia,Nathan Young,2025-08-17,
R 33 000 000,Bantry Bay,7 Bedroom House,Normal,PE Atlantic Seaboard,Michael Anderson,2025-09-19,
R 6 800 000,Foreshore,3 Bedroom Apartment in Foreshore,Promoted,PE Atlantic Seaboard,Aaron Walker,2025-09-09,
R 4 495 000,Constantia,4 Bedroom House,Sponsored,PE Constantia,Marcus Rivera,2025-07-01,
R 16 800 000,Camps Bay,4 Bedroom House,Sponsored,PE Atlantic Seaboard,Robert Chen,2025-08-30,
R 3 395 000,Bergvliet,3 Bedroom House,Sponsored,PE Southern Suburbs,Martin Hayes,2025-06-16,2025-09-24
R 2 950 000,Cape Town City Centre,1 Bedroom Apartment,Sponsored,PE City Bowl,Claude Chapman,2025-07-19,
R 1 795 000,Rondebosch,1 Bedroom Apartment,Private,PE Rondebosch,Isaac Scott,2025-06-21,2025-08-20
R 4 750 000,Tokai,4 Bedroom House,Normal,PE Southern Suburbs,Adrian Phillips,2025-09-08,
R 4 795 000,Claremont,3 Bedroom House,Normal,PE Claremont,Robert Chen,2025-09-12,
R 3 995 000,Diep River,5 Bedroom House,Normal,PE Southern Suburbs,Raymond Watson,2025-09-29,
R 4 975 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Dustin Peterson,2025-06-07,
R 2 250 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Justin Lewis,2025-08-12,
R 6 350 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Jordan Adams,2025-08-15,
R 1 495 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Ralph Patterson,2025-07-31,
R 8 750 000,Camps Bay,3 Bedroom House,Sponsored,PE Atlantic Seaboard,Shane Ward,2025-07-10,
R 9 750 000,Constantia,4 Bedroom House,Sponsored,PE Constantia,Aaron Walker,2025-07-18,
R 5 150 000,Cape Town City Centre,2 Bedroom Apartment,Sponsored,PE City Bowl,Warren Hicks,2025-06-09,
R 1 045 000,Kenilworth,1 Bedroom Apartment,Sponsored,PE Southern Suburbs,Claude Chapman,2025-08-21,
R 6 760 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Samuel Bennett,2025-05-06,2025-09-25
R 6 695 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Travis Morgan,2025-09-05,
R 6 900 000,Constantia,3 Bedroom House,Normal,PE Constantia,Frederick Price,2025-08-18,
R 850 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Marcus Torres,2025-08-21,2025-09-06
R 2 949 000,Kenilworth,3 Bedroom House,Normal,PE Southern Suburbs,Blake Edwards,2025-05-31,
R 2 850 000,Newlands,1 Bedroom Apartment,Normal,PE Newlands,Francis Barnes,2025-07-17,2025-09-11
R 2 825 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Dustin Peterson,2025-05-25,
R 5 995 000,Constantia,3 Bedroom House,Normal,PE Constantia,Douglas Butler,2025-06-03,2025-09-04
R 15 750 000,Green Point,4 Bedroom House,Normal,PE Atlantic Seaboard,Jacob Taylor,2025-05-02,
R 39 995 000,Waterfront,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-05-08,
R 845 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Colin Ramirez,2025-09-22,
R 1 050 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Spencer Reed,2025-07-23,2025-08-20
R 24 999 999,Bishopscourt,5 Bedroom House,Normal,PE Bishopscourt,Colin Ramirez,2025-06-09,2025-09-22
R 7 085 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Preston Murphy,2025-08-25,
R 1 495 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Claude Chapman,2025-05-11,2025-06-16
R 1 795 000,Rosebank,1 Bedroom Apartment,Normal,PE Southern Suburbs,Wesley Richardson,2025-09-29,
R 4 999 000,Foreshore,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Lester Harper,2025-07-14,
R 999 000,Observatory,0.5 Bedroom Apartment,Normal,PE Woodstock,Raymond Watson,2025-08-03,2025-08-23
R 9 495 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Melvin Lowe,2025-05-29,
R 3 595 000,Claremont,2 Bedroom House,Normal,PE Claremont,Michael Anderson,2025-07-29,
R 1 750 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Bernard Mason,2025-08-25,
R 3 250 000,Gardens,3 Bedroom Apartment,Normal,PE City Bowl,Preston Murphy,2025-08-23,
R 1 500 000,Mowbray,2 Bedroom Townhouse,Normal,PE Southern Suburbs,Daniel Martinez,2025-08-20,
R 12 000 000,Green Point,3 Bedroom House,Normal,PE Atlantic Seaboard,Justin Lewis,2025-07-22,
R 1 550 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Albert Perry,2025-05-09,
R 1 050 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Ian Campbell,2025-08-19,
R 8 290 000,Claremont Upper,5 Bedroom House,Normal,PE Claremont,Eric Johnson,2025-09-29,
R 10 500 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,David Thompson,2025-04-14,
R 360 000,Wynberg,0.5 Bedroom Apartment,Normal,PE Southern Suburbs,Samuel Bennett,2025-07-18,2025-08-24
R 4 950 000,Rondebosch Village,3 Bedroom Townhouse,Normal,PE Rondebosch,Dustin Peterson,2025-08-05,
R 8 900 000,Constantia,3 Bedroom House,Normal,PE Constantia,Tyler Moore,2025-05-08,
R 2 450 000,Observatory,3 Bedroom House,Normal,PE Woodstock,Milton Stone,2025-05-23,
R 2 495 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Oscar Newman,2025-05-13,
R 3 150 000,Three Anchor Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Matthew Davis,2025-08-03,
R 1 250 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Victor Webb,2025-07-30,2025-09-23
R 1 295 000,Claremont Village,2 Bedroom Apartment,Normal,PE Claremont,Marcus Rivera,2025-07-17,
R 4 599 000,Woodstock,3 Bedroom House,Normal,PE Woodstock,Robert Chen,2025-04-21,2025-07-27
R 5 850 000,Bergvliet,4 Bedroom House,Normal,PE Southern Suburbs,Lawrence Alexander,2025-06-14,
R 875 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Francis Barnes,2025-05-03,2025-07-13
