org_name,agency,leads,leads_responded,response_rate
RE/MAX Address,RE/MAX Address - Berea,1255,200,15.9
RE/MAX Dazzle,RE/MAX Dazzle Kempton Park,1238,434,35.1
Tyson Property Holdings (Pty) Ltd,Southern Suburbs,1115,61,5.5
Tyson Property Holdings (Pty) Ltd,Gauteng,611,133,21.8
Ennik Estates (Pty) Ltd,Ennik Estates,579,142,24.5
Tyson Property Holdings (Pty) Ltd,Morningside,458,179,39.1
RE/MAX Midlands,RE/MAX Midlands - Pietermaritzburg,403,129,32.0
RE/MAX Address,RE/MAX Address - Upper Highway,329,113,34.3
Tyson Property Holdings (Pty) Ltd,Pinetown Westville,310,85,27.4
Tyson Property Holdings (Pty) Ltd,Atlantic Seaboard,305,69,22.6
Lead Balloon CC t/a RE/MAX Dolphin Realtors,RE/MAX Dolphin Realtors,268,129,48.1
Tyson Property Holdings (Pty) Ltd,Northern Suburbs,238,34,14.3
Just Property Group,Just Property Port Elizabeth,194,55,28.4
Campbell Property Group,Campbell Property Group,118,37,31.4
Tyson Property Holdings (Pty) Ltd,Richards Bay,109,9,8.3
Tyson Property Holdings (Pty) Ltd,Queensburgh,107,35,32.7
Leapfrog Pretoria East,Pretoria East,107,55,51.4
RE/MAX Panache KZN,RE/MAX Panache (North Durban),101,16,15.8
Just Property Heritage,Just Property Heritage,100,44,44.0
Tyson Property Holdings (Pty) Ltd,Umhlanga,92,51,55.4
RE/MAX Address,RE/MAX Address - Umhlanga Rocks,87,29,33.3
Lencar Exclusive Properties,Lencar Exclusive Properties,57,13,22.8
Group Developer and Demo Account,BHG Demo,39,3,7.7
Tyson Property Holdings (Pty) Ltd,Shelly Beach,37,17,45.9
Tyson Property Holdings (Pty) Ltd,Howick & Midlands,37,17,45.9
